Date,Item_Name,Category,Units_Sold,Unit_Cost,Sales_Price,Waste_Qty,Daily_Revenue,Daily_Cost,Net_Profit
2026-04-18,Craft Beer,Beverage,59,45,180,4,10620,2835,7785
2026-04-18,Caesar Salad,Appetizer,27,60,250,3,6750,1800,4950
2026-04-18,Red Wine (Glass),Beverage,37,80,320,2,11840,3120,8720
2026-04-19,Wagyu Burger,Main Course,50,150,450,4,22500,8100,14400
2026-04-19,Truffle Pasta,Main Course,36,120,380,2,13680,4560,9120
2026-04-19,Craft Beer,Beverage,34,45,180,4,6120,1710,4410
2026-04-19,Caesar Salad,Appetizer,46,60,250,1,11500,2820,8680
2026-04-19,Red Wine (Glass),Beverage,68,80,320,1,21760,5520,16240
2026-04-20,Wagyu Burger,Main Course,30,150,450,4,13500,5100,8400
2026-04-20,Truffle Pasta,Main Course,31,120,380,3,11780,4080,7700
2026-04-20,Craft Beer,Beverage,23,45,180,0,4140,1035,3105
2026-04-20,Caesar Salad,Appetizer,15,60,250,4,3750,1140,2610
2026-04-20,Red Wine (Glass),Beverage,18,80,320,4,5760,1760,4000
2026-04-21,Wagyu Burger,Main Course,18,150,450,3,8100,3150,4950
2026-04-21,Truffle Pasta,Main Course,36,120,380,2,13680,4560,9120
2026-04-21,Craft Beer,Beverage,16,45,180,1,2880,765,2115
2026-04-21,Caesar Salad,Appetizer,36,60,250,3,9000,2340,6660
2026-04-21,Red Wine (Glass),Beverage,32,80,320,3,10240,2800,7440
2026-04-22,Wagyu Burger,Main Course,30,150,450,4,13500,5100,8400
2026-04-22,Truffle Pasta,Main Course,17,120,380,1,6460,2160,4300
2026-04-22,Craft Beer,Beverage,20,45,180,1,3600,945,2655
2026-04-22,Caesar Salad,Appetizer,17,60,250,2,4250,1140,3110
2026-04-22,Red Wine (Glass),Beverage,20,80,320,1,6400,1680,4720
2026-04-23,Wagyu Burger,Main Course,34,150,450,0,15300,5100,10200
2026-04-23,Truffle Pasta,Main Course,24,120,380,4,9120,3360,5760
2026-04-23,Craft Beer,Beverage,33,45,180,1,5940,1530,4410
2026-04-23,Caesar Salad,Appetizer,31,60,250,0,7750,1860,5890
2026-04-23,Red Wine (Glass),Beverage,36,80,320,3,11520,3120,8400
2026-04-24,Wagyu Burger,Main Course,55,150,450,3,24750,8700,16050
2026-04-24,Truffle Pasta,Main Course,66,120,380,3,25080,8280,16800
2026-04-24,Craft Beer,Beverage,68,45,180,4,12240,3240,9000
2026-04-24,Caesar Salad,Appetizer,39,60,250,4,9750,2580,7170
2026-04-24,Red Wine (Glass),Beverage,63,80,320,0,20160,5040,15120
2026-04-25,Wagyu Burger,Main Course,59,150,450,0,26550,8850,17700
2026-04-25,Truffle Pasta,Main Course,57,120,380,0,21660,6840,14820
2026-04-25,Craft Beer,Beverage,70,45,180,2,12600,3240,9360
2026-04-25,Caesar Salad,Appetizer,55,60,250,4,13750,3540,10210
2026-04-25,Red Wine (Glass),Beverage,30,80,320,2,9600,2560,7040
2026-04-26,Wagyu Burger,Main Course,48,150,450,0,21600,7200,14400
2026-04-26,Truffle Pasta,Main Course,54,120,380,2,20520,6720,13800
2026-04-26,Craft Beer,Beverage,32,45,180,3,5760,1575,4185
2026-04-26,Caesar Salad,Appetizer,70,60,250,4,17500,4440,13060
2026-04-26,Red Wine (Glass),Beverage,64,80,320,1,20480,5200,15280
2026-04-27,Wagyu Burger,Main Course,36,150,450,3,16200,5850,10350
2026-04-27,Truffle Pasta,Main Course,32,120,380,1,12160,3960,8200
2026-04-27,Craft Beer,Beverage,35,45,180,4,6300,1755,4545
2026-04-27,Caesar Salad,Appetizer,36,60,250,1,9000,2220,6780
2026-04-27,Red Wine (Glass),Beverage,33,80,320,0,10560,2640,7920
2026-04-28,Wagyu Burger,Main Course,24,150,450,0,10800,3600,7200
2026-04-28,Truffle Pasta,Main Course,30,120,380,0,11400,3600,7800
2026-04-28,Craft Beer,Beverage,30,45,180,2,5400,1440,3960
2026-04-28,Caesar Salad,Appetizer,36,60,250,1,9000,2220,6780
2026-04-28,Red Wine (Glass),Beverage,16,80,320,1,5120,1360,3760
2026-04-29,Wagyu Burger,Main Course,29,150,450,3,13050,4800,8250
2026-04-29,Truffle Pasta,Main Course,27,120,380,4,10260,3720,6540
2026-04-29,Craft Beer,Beverage,25,45,180,1,4500,1170,3330
2026-04-29,Caesar Salad,Appetizer,19,60,250,0,4750,1140,3610
2026-04-29,Red Wine (Glass),Beverage,15,80,320,4,4800,1520,3280
2026-04-30,Wagyu Burger,Main Course,31,150,450,4,13950,5250,8700
2026-04-30,Truffle Pasta,Main Course,32,120,380,3,12160,4200,7960
2026-04-30,Craft Beer,Beverage,30,45,180,2,5400,1440,3960
2026-04-30,Caesar Salad,Appetizer,39,60,250,3,9750,2520,7230
2026-04-30,Red Wine (Glass),Beverage,25,80,320,1,8000,2080,5920
2026-05-01,Wagyu Burger,Main Course,59,150,450,2,26550,9150,17400
2026-05-01,Truffle Pasta,Main Course,48,120,380,2,18240,6000,12240
2026-05-01,Craft Beer,Beverage,64,45,180,2,11520,2970,8550
2026-05-01,Caesar Salad,Appetizer,41,60,250,4,10250,2700,7550
2026-05-01,Red Wine (Glass),Beverage,50,80,320,4,16000,4320,11680
2026-05-02,Wagyu Burger,Main Course,64,150,450,2,28800,9900,18900
2026-05-02,Truffle Pasta,Main Course,28,120,380,3,10640,3720,6920
2026-05-02,Craft Beer,Beverage,27,45,180,4,4860,1395,3465
2026-05-02,Caesar Salad,Appetizer,66,60,250,4,16500,4200,12300
2026-05-02,Red Wine (Glass),Beverage,41,80,320,0,13120,3280,9840
2026-05-03,Wagyu Burger,Main Course,27,150,450,2,12150,4350,7800
2026-05-03,Truffle Pasta,Main Course,41,120,380,1,15580,5040,10540
2026-05-03,Craft Beer,Beverage,50,45,180,1,9000,2295,6705
2026-05-03,Caesar Salad,Appetizer,30,60,250,0,7500,1800,5700
2026-05-03,Red Wine (Glass),Beverage,32,80,320,1,10240,2640,7600
2026-05-04,Wagyu Burger,Main Course,33,150,450,0,14850,4950,9900
2026-05-04,Truffle Pasta,Main Course,22,120,380,0,8360,2640,5720
2026-05-04,Craft Beer,Beverage,34,45,180,4,6120,1710,4410
2026-05-04,Caesar Salad,Appetizer,25,60,250,0,6250,1500,4750
2026-05-04,Red Wine (Glass),Beverage,20,80,320,4,6400,1920,4480
